what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078734935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078782927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078801398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078811256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078812216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318078815906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318078818658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078822334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078824210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078825070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078829798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318078834459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318078838452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078838914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078861139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078864318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078864996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078866382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078887261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078892207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078901481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318078903735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078906134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078926988
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318078932115
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078935637
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078935831
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078935994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078936161
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078936343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078936517
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078936712
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1318078936907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078937796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078939650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078941096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078941845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1318078941856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318078942525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078945971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078946887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078947894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078948361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318078952566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318078954535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078959492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078964871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078967941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318078969858
